97,Summer,Athletics,Athletics Women's Shot Put
98,Summer,Rowing,Rowing Men's Coxed Eights
99,Summer,Cycling,Cycling Women's Sprint
100,Summer,Cycling,Cycling Women's 500 metres Time Trial
101,Summer,Athletics,Athletics Men's 110 metres Hurdles
102,Summer,Shooting,Shooting Mixed Trap
103,Summer,Athletics,Athletics Women's Marathon
104,Summer,Athletics,Athletics Men's 100 metres
105,Summer,Fencing,"Fencing Men's Foil, Team"
106,Summer,Fencing,"Fencing Men's Sabre, Team"
107,Summer,Swimming,Swimming Men's 100 metres Freestyle
108,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
109,Summer,Boxing,Boxing Men's Lightweight
110,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual
111,Summer,Boxing,Boxing Men's Welterweight
112,Summer,Rowing,Rowing Men's Quadruple Sculls
113,Summer,Rowing,Rowing Men's Double Sculls
114,Summer,Rowing,Rowing Men's Coxed Pairs
115,Summer,Athletics,Athletics Men's 400 metres Hurdles
116,Summer,Athletics,Athletics Men's 400 metres
117,Summer,Athletics,Athletics Men's Hammer Throw
118,Summer,Weightlifting,Weightlifting Men's Featherweight
119,Summer,Athletics,Athletics Men's 800 metres
120,Summer,Hockey,Hockey Men's Hockey
121,Winter,Alpine Skiing,Alpine Skiing Women's Slalom
122,Summer,Rowing,Rowing Women's Single Sculls
123,Summer,Swimming,Swimming Men's 50 metres Freestyle
124,Summer,Weightlifting,Weightlifting Women's Featherweight
125,Summer,Water Polo,Water Polo Women's Water Polo
126,Winter,Figure Skating,Figure Skating Men's Singles
127,Summer,Weightlifting,Weightlifting Men's Heavyweight
128,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual"
129,Summer,Equestrianism,"Equestrianism Mixed Three-Day Event, Team"
130,Winter,Figure Skating,Figure Skating Mixed Team
131,Summer,Sailing,Sailing Women's Three Person Keelboat
132,Summer,Cycling,"Cycling Women's Road Race, Individual"
133,Summer,Golf,Golf Women's Individual
134,Summer,Softball,Softball Women's Softball
135,Summer,Archery,Archery Women's Individual
136,Summer,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman"
137,Summer,Volleyball,Volleyball Men's Volleyball
138,Summer,Taekwondo,Taekwondo Women's Heavyweight
139,Summer,Synchronized Swimming,Synchronized Swimming Women's Duet
140,Summer,Synchronized Swimming,Synchronized Swimming Women's Team
141,Summer,Taekwondo,Taekwondo Women's Featherweight
142,Summer,Athletics,Athletics Men's Marathon
143,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
144,Summer,Athletics,"Athletics Men's 10,000 metres"
145,Summer,Athletics,"Athletics Women's 3,000 metres"
146,Summer,Diving,Diving Women's Platform
147,Summer,Shooting,"Shooting Men's Air Rifle, 10 metres"
148,Summer,Athletics,Athletics Men's 200 metres
149,Summer,Weightlifting,Weightlifting Men's Flyweight
150,Summer,Swimming,Swimming Men's 100 metres Backstroke
151,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight
152,Summer,Wrestling,"Wrestling Men's Lightweight, Greco-Roman"
153,Summer,Fencing,"Fencing Men's Sabre, Individual"
154,Summer,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman"
155,Summer,Shooting,"Shooting Men's Free Pistol, 50 metres"
156,Summer,Shooting,"Shooting Men's Air Pistol, 10 metres"
157,Summer,Rowing,Rowing Men's Coxless Fours
158,Summer,Boxing,Boxing Men's Light-Flyweight
159,Summer,Boxing,Boxing Men's Super-Heavyweight
160,Summer,Wrestling,"Wrestling Men's Flyweight, Greco-Roman"
161,Summer,Shooting,"Shooting Women's Air Rifle, 10 metres"
162,Summer,Weightlifting,Weightlifting Men's Middle-Heavyweight
163,Summer,Athletics,Athletics Men's Javelin Throw
164,Summer,Volleyball,Volleyball Women's Volleyball
165,Summer,Wrestling,"Wrestling Men's Welterweight, Greco-Roman"
166,Summer,Wrestling,"Wrestling Men's Middleweight, Greco-Roman"
167,Summer,Athletics,"Athletics Men's 3,000 metres Steeplechase"
168,Summer,Wrestling,"Wrestling Men's Middleweight, Freestyle"
169,Summer,Swimming,Swimming Women's 100 metres Backstroke
170,Summer,Swimming,Swimming Women's 200 metres Backstroke
171,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay
172,Summer,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle"
173,Summer,Modern Pentathlon,Modern Pentathlon Men's Team
174,Summer,Boxing,Boxing Men's Bantamweight
175,Summer,Athletics,Athletics Women's 200 metres
176,Summer,Table Tennis,Table Tennis Women's Singles
177,Summer,Table Tennis,Table Tennis Women's Doubles
178,Summer,Shooting,Shooting Men's Skeet
179,Summer,Swimming,Swimming Women's 50 metres Freestyle
180,Summer,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
181,Summer,Athletics,Athletics Men's Triple Jump
182,Summer,Weightlifting,Weightlifting Women's Lightweight
183,Summer,Athletics,Athletics Women's Long Jump
184,Summer,Fencing,"Fencing Women's epee, Individual"
185,Summer,Swimming,Swimming Men's 200 metres Freestyle
186,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay
